Numéro;Heure;Pos_X_centrale;Pos_Y_centrale;Pos_Z_centrale;Angle_X_centrale;Angle_Y_centrale;Angle_Z_centrale
;x10 µs;m;m;m;rad;rad;rad
547;42508400;32572;32868;33749;11;22;33;
548;42591000;32574;32868;33749;11;22;33;
549;42673500;32574;32868;33749;11;22;33;
550;42755900;32572;32867;33749;11;22;33;
551;42838500;32572;32867;33749;11;22;33;
552;42920900;32573;32869;33749;11;22;33;
553;43003400;32571;32868;33749;11;22;33;
554;43085800;32571;32868;33749;11;22;33;
555;43168200;32573;32868;33749;11;22;33;
556;43250800;32573;32868;33749;11;22;33;
557;43333300;32573;32868;33749;11;22;33;
558;43415700;32572;32868;33749;11;22;33;
559;43498300;32572;32868;33749;11;22;33;
560;43505600;32573;32868;33749;11;22;33;
561;43513100;32573;32868;33749;11;22;33;
562;43595600;32573;32868;33749;11;22;33;
563;43677900;32573;32868;33749;11;22;33;
564;43760300;32572;32868;33749;11;22;33;
565;43842800;32572;32868;33749;11;22;33;
566;43925300;51005;32867;33749;11;22;33;
567;44007800;51005;32867;33749;11;22;33;
568;44090200;32573;32867;33749;11;22;33;
569;44172800;32573;32867;33749;11;22;33;
570;44255300;32573;32867;33749;11;22;33;
571;44337700;32573;32868;33749;11;22;33;
572;44420100;32573;32868;33749;11;22;33;
573;44502600;32573;32868;33749;11;22;33;
574;44585000;32573;32868;33749;11;22;33;
575;44667600;32573;32868;33749;11;22;33;
576;44750000;32573;32868;33749;11;22;33;
577;44832500;32572;32868;33749;11;22;33;
578;44915100;32572;32868;33749;11;22;33;
579;44997400;32572;32868;33749;11;22;33;
580;45079700;32573;32868;33749;11;22;33;
581;45162100;32573;32868;33749;11;22;33;
582;45244500;32574;32868;33749;11;22;33;
583;45327000;32574;32868;33749;11;22;33;
584;45409400;32573;32868;33749;11;22;33;
585;45492000;32573;32868;33749;11;22;33;
586;45574500;32573;32868;33749;11;22;33;
587;45656900;32573;32867;33749;11;22;33;
588;45739500;32572;32867;33749;11;22;33;
589;45822000;32572;32867;33749;11;22;33;
590;45904300;32573;32868;33749;11;22;33;
591;45986700;32573;32868;33749;11;22;33;
592;46069100;32573;32867;33749;11;22;33;
593;46151700;32573;32868;33749;11;22;33;
594;46234200;32573;32868;33749;11;22;33;
595;46316600;32572;32867;33749;11;22;33;
596;46399200;32573;32868;33749;11;22;33;
597;46481800;32573;32868;33749;11;22;33;
598;46564200;32573;32967;33749;11;22;33;
599;46646600;32573;32967;33749;11;22;33;
600;46729000;32574;32867;33749;11;22;33;
601;46811400;32574;32868;33749;11;22;33;
602;46894000;32574;32868;33749;11;22;33;
603;46976500;32573;32868;33749;11;22;33;
604;47058900;32576;32867;33749;11;22;33;
605;47141400;32576;32867;33749;11;22;33;
606;47223800;32575;32868;33749;11;22;33;
607;47306300;32575;32868;33749;11;22;33;
608;47388700;32573;32967;33749;11;22;33;
609;47471300;51008;32967;33749;11;22;33;
610;47553700;51008;32967;33749;11;22;33;
